source,text,url
Roseltorg,223-ФЗ. Закупки госкомпаний и госкорпораций,https://www.roseltorg.ru
Roseltorg,615-ПП РФ. Закупки по капитальному ремонту,https://www.roseltorg.ru
Roseltorg,"Независимые (банковские) гарантии Обеспечение контракта и гарантийных обязательств по 44-ФЗ, 223-ФЗ, 615-ПП и коммерческим закупкам 1.5% Минимальная комиссия 300 млн ₽ Максимальная сумма гарантии",https://www.roseltorg.ru/bg
Roseltorg,Имущество Покупка/аренда недвижимости и другого имущества на торгах 60 Категорий имущества Бесплатно Участие в процедурах,https://www.roseltorg.ru/search/sale
Roseltorg,Росэлторг. Бизнес Цифровая торговая платформа для закупок частного бизнеса 5000 Категорий товаров От 0 ₽ Согласно тарифам,https://www.roseltorg.ru/business
Roseltorg,Поставщикам Ежедневно проходит более 20 000 государственных и коммерческих торгов,https://www.roseltorg.ru/for-suppliers
Roseltorg,Заказчикам Полный цикл управления закупочной деятельностью,https://www.roseltorg.ru/for-customers
Roseltorg,Объем торгов свыше 1 765 419 млн ₽,https://www.roseltorg.ru/personal/atom
Roseltorg,Объем торгов свыше 2 317 274 млн ₽,https://www.roseltorg.ru/personal/rt
Roseltorg,Объем торгов свыше 136 224 млн ₽,https://www.roseltorg.ru/personal/rosgeo
Roseltorg,Объем торгов свыше 2 405 924 млн ₽,https://www.roseltorg.ru/personal/rushydro
Roseltorg,Объем торгов свыше 1 999 107 млн ₽,https://www.roseltorg.ru/personal/rosseti
Roseltorg,Объем торгов свыше 906 млн ₽,https://www.roseltorg.ru/personal/demetra
Roseltorg,Объем торгов свыше 494 635 млн ₽,https://www.roseltorg.ru/personal/vtb
Roseltorg,Объем торгов свыше 138 213 млн ₽,https://www.roseltorg.ru/personal/t_plus
Roseltorg,Объем торгов свыше 9 млн ₽,https://www.roseltorg.ru/personal/magnezit
Roseltorg,Объем торгов свыше 90 млн ₽,https://www.roseltorg.ru/personal/may
Roseltorg,Объем торгов свыше 148 314 млн ₽,https://www.roseltorg.ru/personal/sgk
Roseltorg,Объем торгов свыше 182 773 млн ₽,https://www.roseltorg.ru/personal/metro_SPb
Roseltorg,Объем торгов свыше 473 млн ₽,https://www.roseltorg.ru/personal/cemros
Roseltorg,Объем торгов свыше 17 542 млн ₽,https://www.roseltorg.ru/personal/element
Roseltorg,Закупки,https://www.roseltorg.ru/torgi
Roseltorg,44-ФЗ,https://www.roseltorg.ru/search/44fz
Roseltorg,223-ФЗ,https://www.roseltorg.ru/search/com
Roseltorg,Коммерческие закупки,https://rb.roseltorg.ru/?utm_source=roseltorg-ru&utm_medium=referral&utm_campaign=str-comm-prosedyre
Roseltorg,615-ПП РФ. Закупки по капитальному ремонту,https://www.roseltorg.ru/search/fkr
Roseltorg,Нестационарные торговые объекты,https://www.roseltorg.ru/imuschestvo/prochee/nestacionarnye-obekty
Roseltorg,Представление на торгах,https://www.roseltorg.ru/realty-support
Roseltorg,Сопровождение на торгах,https://www.roseltorg.ru/accompaniment
Roseltorg,Аналитика рынка закупок,https://www.roseltorg.ru/analitika
Roseltorg,Сервис управления закупками,https://www.roseltorg.ru/tenderplan
Roseltorg,Стать покупателем,https://www.roseltorg.ru/search/sale
Roseltorg,Торговая секция ГОС 1.0: etp.roseltorg.ru,https://etp.roseltorg.ru/
Roseltorg,Торговая секция МСП: msp.roseltorg.ru,https://msp.roseltorg.ru/
Roseltorg,,https://apps.apple.com/ru/app/росэлторг/id[PHONE]
