anomaly_type,severity,purchase_number,category,metric,amount_rub,description
cancelled_procedure,medium,118042973,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,5706414,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,29473565,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,42851135,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,14581757,construction_and_repair,,490000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,82989725,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,74992496,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,67532985,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,49612647,other,,102500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,26486352,other,,499983.34,Procedure status contains a cancellation signal.
cancelled_procedure,medium,76236466,it_and_telecom,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,92414981,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,8012904,logistics_and_facilities,,65000000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,66775586,other,,495000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2508210058.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2507220052.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2506170064.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2504210041.1,construction_and_repair,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2504210034.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2504180043.1,logistics_and_facilities,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2504080043.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2503310004.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2503280025.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2503100016.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2503030067.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2411130025.1,other,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2410160023.1,professional_services,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2410010034.1,other,,160489600.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2410010032.1,it_and_telecom,,,Procedure status contains a cancellation signal.
