source_system,source_record_id,purchase_number,title,customer_name,customer_inn,publication_date,amount_rub,source_url,match_quality
Sberbank-AST,SBR065-2503140004.1,SBR065-2503140004.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 57,4 кв.м, расположенного по адресу: Республика Калмыкия, г. Элиста, ул. Ю.Клыкова, д. 130/41, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-14,3600000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2864755,candidate
Sberbank-AST,SBR065-2503130007.1,SBR065-2503130007.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 200,1 кв.м., расположенного по адресу: г. Санкт-Петербург, пр-кт Богатырский, д. 51, к. 1, лит. А, пом. 27-Н, принадлежащего ПАО Сбербанк.",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-13,35644000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2861797,candidate
Sberbank-AST,SBR065-2503130006.1,SBR065-2503130006.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 200,1 кв.м. расположенного по адресу: г. Санкт-Петербург, пр-кт Богатырский, д. 51, к. 1, лит. А, пом. 27-Н, принадлежащего ПАО Сбербанк.",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-13,367583.70,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2861794,candidate
Sberbank-AST,SBR065-2503120016.1,SBR065-2503120016.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 155,7 кв. м. (будущая вещь) и 1557/3981 доли в праве собственности на земельный участок общей площадью 660 кв.м, расположенных по адресу: Республика Коми, муниципальный район Удорский, сельское поселение Кослан, ул. Советская, д. 12, принадлежащих ПАО Сбербанк",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-12,2061137.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2858620,candidate
Sberbank-AST,SBR065-2503120015.1,SBR065-2503120015.1,"Английский аукцион на повышение на право заключения договора аренды нежилых помещений общей площадью 170,3 кв.м, расположенных по адресу: Республика Коми, муниципальный район Удорский, сельское поселение Кослан, ул. Советская, д. 12, принадлежащих ПАО Сбербанк",Северо-Западный банк ПАО Сбербанк,7707083893,2025-03-12,51601.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2858610,candidate
Sberbank-AST,SBR065-2503120013.1,SBR065-2503120013.1,"Английский аукцион на повышение на право заключения договора аренды гаража площадью 35,5 кв.м. расположенного по адресу: Ставропольский край, г. Пятигорск, п. Горячеводский, ул.Ленина, д.30, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-12,8094.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2858604,candidate
Sberbank-AST,SBR065-2503120014.1,SBR065-2503120014.1,"Английский аукцион на повышение на право заключения договора купли-продажи гаража площадью 35,5 кв.м. расположенного по адресу: Ставропольский край, г. Пятигорск, п. Горячеводский, ул.Ленина, д.30, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-12,587000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2858605,candidate
Sberbank-AST,SBR065-2503120012.1,SBR065-2503120012.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора аренды помещения гаража, общей площадью 28,5 кв. м., расположенного по адресу: Тамбовская область, Тамбовский район, п. Строитель, ул. Придорожная, д. 20, принадлежащего ПАО Сбербанк.",Центрально-Черноземный банк ПАО Сбербанк,7707083893,2025-03-12,33037.20,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2857787,candidate
Sberbank-AST,SBR065-2503120011.1,SBR065-2503120011.1,"Английский аукцион на повышение на право заключения договора аренды нежилого здания площадью 40,5 кв.м. расположенного по адресу: Брянская область, р-н Навлинский, рп Алтухово, ул. Калинина, д.2А, принадлежащего ПАО Сбербанк.",Среднерусский банк ПАО Сбербанк,7707083893,2025-03-12,4536.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2857670,candidate
Sberbank-AST,SBR065-2503120010.1,SBR065-2503120010.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого здания площадью 40,5 кв.м. и земельного участка площадью 655,0 кв.м, расположенные по адресу: Брянская область, р-н Навлинский, рп Алтухово, ул. Калинина, д.2А, принадлежащие ПАО Сбербанк.",Среднерусский банк ПАО Сбербанк,7707083893,2025-03-12,354333.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2857664,candidate
Sberbank-AST,SBR065-2503120008.1,SBR065-2503120008.1,"Английский аукцион на повышение на право заключения договора купли-продажи 34/100 доли в праве общей долевой собственности на здание общей площадью 326,3 кв.м. и 60/100 доли в праве общей долевой собственности на земельный участок общей площадью 1017,0 кв.м., расположенных по адресу: Брянская область, пгт. Климово, ул. Коммунистическая, д. 12, принадлежащих ПАО Сбербанк.",Среднерусский банк ПАО Сбербанк,7707083893,2025-03-12,1258000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2857477,candidate
